z in mm,x in mm +- .010 mm,I in mW +- 0.5
10,4.6,65
10,4.5,64.4
10,4.4,64.1
10,4.3,63.3
10,4.2,62.4
10,4.1,60.8
10,4,57.9
10,3.9,54.9
10,3.8,50.5
10,3.7,46.6
10,3.6,41.8
10,3.5,36.3
10,3.4,29.8
10,3.3,24.6
10,3.2,20.7
10,3.1,17
10,3,12.9
10,2.9,9.3
10,2.8,7
10,2.7,5.1
10,2.6,3.9
10,2.5,2.9
10,2.4,2.3
10,2.3,1.8
10,2.2,1.4
10,2.1,1.1
10,2,0.7
10,1.9,0.5
10,1.8,0.3
10,1.7,0.2
15,4.5,66.4
15,4.4,66.3
15,4.3,66.3
15,4.2,66
15,4.1,65.8
15,4,65.2
15,3.9,64.6
15,3.8,62.8
15,3.7,59.9
15,3.6,54.8
15,3.5,48.5
15,3.4,42
15,3.3,33.8
15,3.2,26.4
15,3.1,20.8
15,3,15.5
15,2.9,10.4
15,2.8,7
15,2.7,4.8
15,2.6,3.4
15,2.5,2.6
15,2.4,1.9
15,2.3,1.4
15,2.2,1
15,2.1,0.7
15,2,0.4
20,4.3,66.8
20,4.2,66.8
20,4.1,66.8
20,4,66.6
20,3.9,66.4
20,3.8,66.1
20,3.7,65.4
20,3.6,63.5
20,3.5,60
20,3.4,53.9
20,3.3,45.2
20,3.2,35.7
20,3.1,26.4
20,3,19
20,2.9,12.7
20,2.8,7.9
20,2.7,5
20,2.6,3.3
20,2.5,2.3
20,2.4,1.4
20,2.3,0.9
20,2.2,0.7
20,2.1,0.5
20,2,0.3
20,1.9,0.2
25,4.2,66.5
25,4.1,66.5
25,4,66.4
25,3.9,66.3
25,3.8,66.1
25,3.7,66.1
25,3.6,65.9
25,3.5,65.7
25,3.4,63.9
25,3.3,59.3
25,3.2,49.6
25,3.1,37.1
25,3,25
25,2.9,15.8
25,2.8,8.8
25,2.7,5.1
25,2.6,3
25,2.5,1.8
25,2.4,1
25,2.3,0.6
25,2.2,0.3
25,2.1,0.2
25,2,0.1
