Strom mA +- 10,amplitude mV +-10,periode riesenpuls us,uns perio
1333,620,11,0.285714285714286
1382,650,10.2857142857143,0.285714285714286
1431,680,10,0.2
1485,730,8.55555555555556,0.222222222222222
1529,720,8.2,0.2
1578,700,7.18181818181818,0.181818181818182
1632,670,7.45454545454545,0.181818181818182
1677,600,7.69230769230769,0.0769230769230769
1735,280,6.66666666666667,0.0769230769230769
1779,260,6.5,1
1824,270,,
1873,290,,
1922,310,,
1981,320,,
2030,360,,
2083,390,,
2133,400,,
2182,420,,
2231,440,,
2280,460,,
2334,470,,
2378,500,,
2427,510,,
2450,515,,
