Transmission auskoppel % +- 0.5,Strom mA +- 10,Leistung mW +- 10
10,1092,10
10,1194,17
10,1288,27
10,1396,31
10,1489,45
10,1587,55
10,1695,71
10,1789,83
10,1882,103
10,1985,125
10,2088,137
10,2186,161
10,2285,180
10,2378,203
10,2455,218
4,980,2
4,1082,9
4,1185,15
4,1284,23
4,1386,30
4,1485,39
4,1587,51
4,1690,59
4,1779,75
4,1878,91
4,1985,110
4,2083,131
4,2182,150
4,2280,162
4,2383,177
4,2455,194
1.6,975,1
1.6,1078,6
1.6,1181,13
1.6,1284,19
1.6,1386,25
1.6,1489,34
1.6,1583,43
1.6,1686,54
1.6,1779,66
1.6,1882,79
1.6,1985,94
1.6,2088,110
1.6,2182,127
1.6,2289,140
1.6,2383,151
1.6,2455,165
0.4,1082,3
0.4,1185,8
0.4,1284,13
0.4,1382,19
0.4,1485,27
0.4,1583,34
0.4,1686,44
0.4,1779,54
0.4,1878,64
0.4,1990,79
0.4,2088,90
0.4,2182,103
0.4,2285,115
0.4,2383,129
0.4,2450,138
